Votes,Rank,Title,Year,Country,Genre
"196538","8.1","The Thing","1982","USA","Horror-Mystery-SciFi-Thriller"
"76427","8.1","Dial M for Murder","1954","USA","Crime-Thriller"
"25603","8.1","Le salaire de la peur","1953","France-Italy","Adventure-Drama-Thriller"
"225520","8.1","Platoon","1986","UK-USA","Drama-War"
"451152","8.1","No Country for Old Men","2007","USA","Crime-Drama-Thriller"
"531507","8.1","Kill Bill: Vol. 1","2003","USA","Action-Crime"
"474934","8.1","Finding Nemo","2003","USA","Adventure-Animation-Comedy-Family"
"82367","8.1","Mary and Max","2009","Australia","Comedy-Documentary"
"144968","8.1","Annie Hall","1977","USA","Comedy-Drama-Romance"
"206356","8.1","Life of Brian","1979","UK","Comedy"
"508323","8.1","Sin City","2005","USA","Crime-Thriller"
"57362","8.1","Touch of Evil","1958","USA","Crime-FilmNoir-Thriller"
"78599","8.1","Network","1976","USA","Drama"
"30773","8.1","Les diaboliques","1955","France","Horror-Mystery-Thriller"
"41250","8.1","How to Train Your Dragon 2","2014","USA","Action-Adventure-Animation-Comedy-Family-Fantasy"
"231535","8.1","The Princess Bride","1987","USA","Adventure-Comedy-Family-Fantasy-Romance"
"207684","8.1","Stand by Me","1986","USA","Adventure-Drama"
"49443","8.1","Incendies","2010","Canada-France","Drama-Mystery-War"
"135478","8.1","Amores perros","2000","Mexico","Drama-Thriller"
"218571","8.1","The Wizard of Oz","1939","USA","Adventure-Family-Fantasy-Musical"
"678249","8.1","The Avengers","2012","USA","Action-Adventure-SciFi"
"31686","8.1","The Raid 2: Berandal","2014","Indonesia-USA","Action-Crime-Thriller"
"120250","8.1","Ben-Hur","1959","USA","Adventure-Drama"
"283351","8.1","There Will Be Blood","2007","USA","Drama"
"47740","8.1","The Grapes of Wrath","1940","USA","Drama"
"348898","8.1","Million Dollar Baby","2004","USA","Drama-Sport"
"52399","8.1","Les quatre cents coups","1959","France","Crime-Drama"
"84964","8.1","Hachi: A Dog's Tale","2009","USA-UK","Drama-Family"
"31291","8.1","The Best Years of Our Lives","1946","USA","Drama-Romance-War"
"79129","8.1","In the Name of the Father","1993","Ireland-UK-USA","Biography-Drama-History"
"447199","8.1","Donnie Darko","2001","USA","Drama-Mystery-SciFi"
"364834","8.1","The Bourne Ultimatum","2007","UK-USA-Germany","Action-Crime-Thriller"
"60791","8.1","8½","1963","Italy-France","Drama-Fantasy"
"72257","8.1","Strangers on a Train","1951","USA","Crime-FilmNoir-Drama"
"127607","8.1","Gandhi","1982","UK-India","Biography-Drama"
"43117","8.1","Persona","1966","Sweden","Drama-Horror-Thriller"
"175249","8.1","Her","2013","USA","Drama-Romance-SciFi"
"62965","8.1","High Noon","1952","USA","Drama-Western"
"342786","8.1","The King's Speech","2010","UK-USA-Australia","Biography-Drama"
"303048","8.1","Jaws","1975","USA","Adventure-Thriller"
"71382","8.1","Mou gaan dou","2002","China","Crime-Mystery-Thriller"
"64386","8.1","Kaze no tani no Naushika","1984","Japan","Adventure-Animation-Fantasy-SciFi"
"58307","8.1","Notorious","1946","USA","Drama-FilmNoir-Romance-Thriller"
"355000","8.1","Twelve Monkeys","1995","USA","Mystery-SciFi-Thriller"
"31732","8.1","Fanny och Alexander","1982","Sweden","Drama"
"432730","8.0","The Terminator","1984","UK-USA","Action-SciFi"
"108643","8.0","Yip Man","2008","China","Action-Biography-Drama-Sport"
"49950","8.0","Stalker","1979","Soviet Union","Drama-SciFi"
"368777","8.0","Harry Potter and the Deathly Hallows: Part 2","2011","USA-UK","Adventure-Fantasy-Mystery"
"49664","8.0","The Night of the Hunter","1955","USA","Crime-FilmNoir-Thriller"
"322938","8.0","Groundhog Day","1993","USA","Comedy-Drama-Fantasy-Romance"
"36577","8.0","La strada","1954","Italy","Drama"
"256278","8.0","Rocky","1976","USA","Drama-Sport"
"525090","8.0","Shutter Island","2010","USA","Mystery-Thriller"
"143206","8.0","Dog Day Afternoon","1975","USA","Crime-Drama"
"37528","8.0","Lagaan: Once Upon a Time in India","2001","India","Adventure-Drama-Musical-Romance-Sport"
"43110","8.0","Who's Afraid of Virginia Woolf?","1966","USA","Drama"
"76477","8.0","La haine","1995","France","Drama"
"127673","8.0","Before Sunrise","1995","USA","Drama-Romance"
"600411","8.0","Pirates of the Caribbean: The Curse of the Black Pearl","2003","USA","Action-Adventure-Fantasy"
"51769","8.0","The Big Sleep","1946","USA","Crime-FilmNoir-Mystery-Thriller"
"397464","8.0","Monsters Inc.","2001","USA","Adventure-Animation-Comedy-Family-Fantasy"
"27199","8.0","La battaglia di Algeri","1966","Italy-Algeria","Crime-Drama-History-War"
"77466","8.0","Barry Lyndon","1975","UK-USA","Drama"
"168802","8.0","The Graduate","1967","USA","Comedy-Drama-Romance"
"42462","8.0","Salinui chueok","2003","South Korea","Crime-Drama-Mystery-Thriller"
"73535","8.0","Roman Holiday","1953","USA","Comedy-Drama-Romance"
"66096","8.0","Tenkû no shiro Rapyuta","1986","Japan","Action-Adventure-Animation-Family-Fantasy-Romance"
"49202","8.0","The Hustler","1961","USA","Drama-Sport"
"97955","8.0","Per un pugno di dollari","1964","Italy-Spain-Germany","Western"
"54644","8.0","Festen","1998","Denmark-Sweden","Drama"
"238504","8.0","The Help","2011","USA","Drama"
"164420","8.0","Captain America: The Winter Soldier","2014","USA","Action-Adventure-SciFi"
"478733","8.0","The Truman Show","1998","USA","Comedy-Drama-SciFi"
"57765","8.0","Fa yeung nin wa","2000","China-France-India","Drama-Romance"
"492120","8.0","Slumdog Millionaire","2008","UK","Drama-Romance"
"89084","8.0","A Christmas Story","1983","USA-Canada","Comedy-Family"
"37429","8.0","Stalag 17","1953","USA","Comedy-Drama-War"
"397495","8.0","Gravity","2013","USA-UK","SciFi-Thriller"
"49637","8.0","The Killing","1956","USA","Crime-FilmNoir-Thriller"
"219984","8.0","Beauty and the Beast","1991","USA","Animation-Family-Fantasy-Musical-Romance"
"75870","8.0","Rope","1948","USA","Crime-Drama-Thriller"
"395279","8.0","Jurassic Park","1993","USA","Adventure-SciFi-Thriller"
"36961","8.0","Swades: We the People","2004","India","Drama"
"32688","8.0","Underground","1995","France-Germany-Hungary-FR Yugoslavia-Bulgaria","Comedy-Drama-War"
"51111","8.0","Tropa de Elite 2 - O Inimigo Agora É Outro","2010","Brazil","Action-Crime-Drama-Thriller"
"434462","8.0","Black Swan","2010","USA","Drama-Mystery-Thriller"
